,cell_id,cell_type,firing_rate,ap_threshold,ap_duration,mean_vm,std_vm,fft_low,fft_high
36,SC901_1,EXC,4.4,-0.03719588194111394,0.8497727272727272,-0.051749572161178314,0.004967492758495217,0.0006773152273501459,7.466773018153537e-05
37,SC902_1,EXC,0.7833333333333333,-0.03973154791592843,0.8941489361702128,-0.06133530781100473,0.0057091521251131545,0.0007245203222472406,6.011637528863192e-05
38,SC904_1,EXC,0.38235294117647056,-0.04489408685545388,0.3269230769230769,-0.06053799634696151,0.003221260732407148,0.0003800935664057508,3.951308338630601e-05
39,SC905_1,EXC,0.5952380952380952,-0.043295168657068686,0.296,-0.05625758819610608,0.0032682728993671277,0.00043672500040453703,4.4885640691097494e-05
40,SC906_1,EXC,8.305555555555555,-0.043835165915268204,0.4419732441471572,-0.05221706555359588,0.0033307373041975,0.00041169736233246805,5.3311247666567774e-05
41,SC908_1,EXC,5.541666666666667,-0.04483427677540529,0.4317669172932332,-0.05586360107995513,0.003421915621773985,0.0004166182649429441,6.303955301222407e-05
42,SC910_1,EXC,7.804347826086956,-0.04329519778331914,0.45320334261838446,-0.0524010808866898,0.003450801766309227,0.0003918022461732386,7.04927980727906e-05
43,SC911_1,EXC,49.86666666666667,-0.04263241717701831,0.23683155080213905,-0.05440355362657502,0.006487766636819409,0.0006924774591470958,0.00012976532119739312
44,SC912_1,EXC,24.933333333333334,-0.04431318563994046,0.23315508021390374,-0.05644333577259009,0.00652256603355483,0.0008936774681709847,9.630444831084997e-05
45,SC916_1,EXC,28.90740740740741,-0.03944939877851173,0.37062780269058293,-0.04802449771318283,0.005077176716271666,0.0006442727147514806,8.831450336171869e-05
46,SC917_1,EXC,1.3870967741935485,-0.042345020112088655,0.40813953488372096,-0.05339005037708527,0.0031861115283201105,0.0003942945320682891,3.6355366640211064e-05
47,SC918_1,EXC,6.983333333333333,-0.04042640119487201,0.37326968973747016,-0.055075345573970966,0.006662792186189972,0.0009257672496689461,8.741044216673285e-05
48,SC919_1,EXC,6.970588235294118,-0.039366219626351694,0.49873417721518976,-0.05195659955138418,0.004926131779310382,0.0006302701147127709,0.00010219806627372388
49,SC923_1,EXC,3.1333333333333333,-0.04101182304416557,0.632313829787234,-0.050299613295492325,0.003522016218155274,0.0004409471899284927,3.9781868512147384e-05
50,SC924_1,EXC,0.54,-0.040316983608788735,0.6092592592592593,-0.06842977384567958,0.00709276949672708,0.0009543532489144442,9.193457669241401e-05
51,SC925_1,EXC,4.296551724137931,-0.04789063326642356,0.47134831460674154,-0.057838797637590374,0.0032671591092363734,0.00038633829700940076,5.2772694743796816e-05
52,SC926_1,EXC,30.384615384615383,-0.043171322131557874,0.26662447257383964,-0.056545463178566596,0.006885135540177149,0.0008925935137349856,8.90506514944637e-05
53,TK112_1,PV,7.22,-0.043484164019331056,0.7049861495844877,-0.049940975894675305,0.003252999403803329,0.0003987257402597891,3.694890749166929e-05
54,TK112_2,PV,3.4166666666666665,-0.039106793673896856,0.5219512195121951,-0.04896224178727741,0.0033804448124181504,0.00038612708395386344,6.929210153283073e-05
55,TK140_1,EXC,16.486486486486488,-0.04095919440695753,0.3110655737704918,-0.05709954928752552,0.00850303510379736,0.001172511501518069,9.554520332967328e-05
56,TK140_2,EXC,0.26666666666666666,-0.040715854702491776,0.59375,-0.06491651751408513,0.005432571103387226,0.0006269795307475308,9.525088262168861e-05
57,TK146_1,EXC,1.1515151515151516,-0.03974315726004981,0.5960526315789473,-0.06287801387784858,0.00584064045576893,0.0007782990174956584,7.084694426248524e-05
